name,open,pre_close,price,high,low,bid,ask,volume,amount,b1_v,b1_p,b2_v,b2_p,b3_v,b3_p,b4_v,b4_p,b5_v,b5_p,a1_v,a1_p,a2_v,a2_p,a3_v,a3_p,a4_v,a4_p,a5_v,a5_p,date,time,code
宏图高科,11.98,11.99,11.79,12.06,11.5,11.78,11.79,11249106,132026712.0,420,11.78,405,11.77,103,11.76,365,11.75,127,11.74,480,11.79,438,11.8,250,11.81,157,11.83,166,11.84,2017-04-20,14:44:48,600122
宏图高科,11.98,11.99,11.78,12.06,11.5,11.78,11.79,11251106,132050272.0,400,11.78,405,11.77,103,11.76,365,11.75,127,11.74,481,11.79,433,11.8,250,11.81,153,11.83,166,11.84,2017-04-20,14:44:55,600122
宏图高科,11.98,11.99,11.78,12.06,11.5,11.78,11.79,11251106,132050272.0,400,11.78,405,11.77,103,11.76,365,11.75,127,11.74,483,11.79,440,11.8,250,11.81,153,11.83,166,11.84,2017-04-20,14:44:57,600122
宏图高科,11.98,11.99,11.78,12.06,11.5,11.78,11.79,11251606,132056162.0,395,11.78,405,11.77,103,11.76,365,11.75,127,11.74,483,11.79,440,11.8,250,11.81,153,11.83,166,11.84,2017-04-20,14:45:06,600122
宏图高科,11.98,11.99,11.78,12.06,11.5,11.78,11.79,11252006,132060874.0,368,11.78,405,11.77,103,11.76,365,11.75,127,11.74,483,11.79,440,11.8,250,11.81,153,11.83,166,11.84,2017-04-20,14:45:12,600122
宏图高科,11.98,11.99,11.78,12.06,11.5,11.78,11.79,11253306,132076188.0,355,11.78,405,11.77,103,11.76,365,11.75,127,11.74,483,11.79,440,11.8,250,11.81,153,11.83,166,11.84,2017-04-20,14:45:15,600122
宏图高科,11.98,11.99,11.78,12.06,11.5,11.78,11.79,11256306,132111528.0,325,11.78,405,11.77,103,11.76,365,11.75,127,11.74,473,11.79,440,11.8,250,11.81,153,11.83,166,11.84,2017-04-20,14:45:18,600122
宏图高科,11.98,11.99,11.79,12.06,11.5,11.78,11.79,11258106,132132745.0,320,11.78,405,11.77,103,11.76,365,11.75,127,11.74,460,11.79,440,11.8,250,11.81,153,11.83,166,11.84,2017-04-20,14:45:21,600122
宏图高科,11.98,11.99,11.79,12.06,11.5,11.78,11.79,11258106,132132745.0,320,11.78,405,11.77,103,11.76,365,11.75,127,11.74,468,11.79,440,11.8,250,11.81,153,11.83,166,11.84,2017-04-20,14:45:27,600122
宏图高科,11.98,11.99,11.79,12.06,11.5,11.78,11.79,11264206,132204664.0,320,11.78,405,11.77,103,11.76,369,11.75,127,11.74,407,11.79,440,11.8,250,11.81,153,11.83,166,11.84,2017-04-20,14:45:31,600122
宏图高科,11.98,11.99,11.79,12.06,11.5,11.78,11.79,11264206,132204664.0,324,11.78,405,11.77,103,11.76,369,11.75,127,11.74,368,11.79,440,11.8,250,11.81,155,11.83,166,11.84,2017-04-20,14:45:33,600122
宏图高科,11.98,11.99,11.78,12.06,11.5,11.78,11.79,11284206,132440264.0,124,11.78,405,11.77,103,11.76,369,11.75,127,11.74,368,11.79,440,11.8,250,11.81,155,11.83,166,11.84,2017-04-20,14:45:39,600122
宏图高科,11.98,11.99,11.78,12.06,11.5,11.78,11.79,11288506,132490953.0,123,11.78,405,11.77,103,11.76,369,11.75,127,11.74,333,11.79,440,11.8,250,11.81,155,11.83,166,11.84,2017-04-20,14:45:45,600122
宏图高科,11.98,11.99,11.78,12.06,11.5,11.77,11.78,11300906,132637026.0,405,11.77,103,11.76,369,11.75,127,11.74,13,11.73,108,11.78,371,11.79,440,11.8,250,11.81,155,11.83,2017-04-20,14:45:51,600122
宏图高科,11.98,11.99,11.78,12.06,11.5,11.77,11.78,11300906,132637026.0,405,11.77,103,11.76,369,11.75,127,11.74,13,11.73,138,11.78,371,11.79,440,11.8,250,11.81,155,11.83,2017-04-20,14:45:55,600122
宏图高科,11.98,11.99,11.78,12.06,11.5,11.77,11.78,11301406,132642916.0,405,11.77,103,11.76,369,11.75,127,11.74,13,11.73,496,11.78,371,11.79,440,11.8,250,11.81,155,11.83,2017-04-20,14:45:57,600122
